order,month,work_key,doi,title,venue,states_pce,states_certified,states_area,states_t80,isos_protocol,pce_value
36,2026-08,10.3390/ceramics9080087,10.3390/ceramics9080087,"Manufacturing of Perovskite Solar Cells: Materials, Processing Strategies, and Pathways to Scalable Production",Ceramics,,,,,,
37,2026-02,10.1002/adma.202519339,10.1002/adma.202519339,Molecular Buffering Regulates Lattice Strain for Fatigue‐Resistant Perovskite Photovoltaics Under Cryogenic Thermal Cycling,Advanced Materials,,,,,,
38,2026-01,10.37284/eaje.9.1.4347,10.37284/eaje.9.1.4347,"Computational Modelling and Numerical Simulation of a Lead-free Perovskite Photovoltaic Solar Cell, Optimised for the Specific Climatological Profile of Zimbabwe",East African Journal of Engineering,,,,,,
39,2026-05,10.1002/cnl2.70174,10.1002/cnl2.70174,Scalable Fabrication of Perovskite Solar Cells and Modules,Carbon Neutralization,,,,,,
40,2026-04,10.1038/s41467-026-71845-7,10.1038/s41467-026-71845-7,Dimensional control of low-dimensional perovskite hybrids for photovoltaics,Nature Communications,,,,,,
41,2026-08,10.1002/ange.8256065,10.1002/ange.8256065,Polyfluorinated‐Regulator‐Assisted Scaffold‐Directed Tilted 1D/3D Heterointerfaces for High‐Voltage and Stable Perovskite Solar Cells,Angewandte Chemie,,,,,,
42,2026-08,10.1002/ente.70607,10.1002/ente.70607,Ambient Processing of Large‐Area and Fully Slot‐Die‐Coated MAPbI 3 Perovskite Solar Cells,Energy Technology,,,,,,
43,2026-03,10.3390/chemistry8040039,10.3390/chemistry8040039,"Pressure-Dependent Structural, Electronic, Mechanical, and Optical Properties of Cs2SeCl6: A DFT Simulation",Chemistry,,,,,,
44,2026-05,10.1016/j.nxmate.2026.102127,10.1016/j.nxmate.2026.102127,Modeling and experimental investigation of perovskite/black silicon/silicon tandem solar cells,Next Materials,,,,,,
45,2026-03,10.1002/ange.202519239,10.1002/ange.202519239,Pancake‐Like Surface Halide‐Fluorothiolate‐Enriched Au 12 Ag 30 Nanoclusters for Defect Passivation and Moisture Shielding in Perovskite Solar Cells,Angewandte Chemie,,,,,,
46,2026-06,10.11868/j.issn.1001-4381.2024.000267,10.11868/j.issn.1001-4381.2024.000267,Study on the properties of SnO2 thin film based on hydrolysis and its effect on perovskite solar cells,DOAJ (DOAJ: Directory of Open Access Journals),,,,,,
47,2026-03,10.26599/emd.2026.9370089,10.26599/emd.2026.9370089,Eco-friendly lead-free and low-lead perovskite solar cells,Energy Materials and Devices,,,,,,
48,2026-03,10.1016/j.joule.2026.102396,10.1016/j.joule.2026.102396,TOPCon-based bottom cells for perovskite/silicon tandem solar cells,Joule,,,,,,
49,2026-01,10.1016/j.rineng.2026.108976,10.1016/j.rineng.2026.108976,"Polymer Photocatalysts for Green Energy and Environmental Remediation: Recent Progress, Challenges, and Future Directions",Results in Engineering,,,,,,
50,2026-07,10.1002/eem2.70481,10.1002/eem2.70481,Research Progress of Three‐Terminal Perovskite/Silicon Tandem Solar Cells Based on Back‐Contact Silicon,Energy & environment materials,,,,,,
51,2026-08,10.1002/ente.70559,10.1002/ente.70559,Defect Passivation and Stability Enhancement in Perovskite Solar Cells for Tandem Devices Using 2D Materials: A Review,Energy Technology,,,,,,
52,2026-04,10.1002/anie.9551164,10.1002/anie.9551164,Lithium‐Based Deep Eutectic in Spiro‐OMeTAD Enable Efficient and Stable Perovskite Solar Cells,Angewandte Chemie International Edition,,,,,,
