work_key,doi,device_class,pce_champion,pce_certified,included_in_figure,exclusion_reason
10.1002/solr.202500766,10.1002/solr.202500766,perovskite_silicon_tandem,,,1,
10.1021/acsaem.6c00408,10.1021/acsaem.6c00408,all_perovskite_tandem,25.13,,1,
10.1002/smll.202513958,10.1002/smll.202513958,perovskite_silicon_tandem,29,,1,
10.1021/jacs.5c19291,10.1021/jacs.5c19291,single_junction,,,1,
10.1002/solr.202500906,10.1002/solr.202500906,single_junction,19.61,,1,
10.1016/j.scib.2026.02.050,10.1016/j.scib.2026.02.050,single_junction,26.54,,1,
10.1002/solr.202500950,10.1002/solr.202500950,single_junction,,,1,
10.26599/nre.2026.9120218,10.26599/nre.2026.9120218,single_junction,25.06,,1,
10.1002/solr.202500875,10.1002/solr.202500875,single_junction,,,0,lens=review
10.1002/smll.202514486,10.1002/smll.202514486,single_junction,,,1,
10.1016/j.solmat.2026.114233,10.1016/j.solmat.2026.114233,single_junction,20,,1,
10.1063/5.0279622,10.1063/5.0279622,single_junction,,,1,
10.1002/smll.202514753,10.1002/smll.202514753,single_junction,,,0,lens=theory
10.1002/inf2.70124,10.1002/inf2.70124,single_junction,,,0,lens=theory
10.1002/ente.202502217,10.1002/ente.202502217,single_junction,17.79,,1,
10.1002/smll.202513854,10.1002/smll.202513854,single_junction,,,0,lens=review
10.1021/acsaem.5c03517,10.1021/acsaem.5c03517,single_junction,20.2,,1,
10.1002/advs.202524013,10.1002/advs.202524013,single_junction,17.58,,1,
10.1021/acsenergylett.5c03797,10.1021/acsenergylett.5c03797,single_junction,,,1,
10.1021/acsami.5c21997,10.1021/acsami.5c21997,single_junction,22.4,,1,
10.1021/acsami.5c21487,10.1021/acsami.5c21487,single_junction,23.27,,1,
10.1002/pip.70083,10.1002/pip.70083,single_junction,21.12,,1,
10.1002/smll.202511874,10.1002/smll.202511874,single_junction,,,0,lens=review
10.1002/solr.202500698,10.1002/solr.202500698,single_junction,20.3,,0,lens=review
10.1002/solr.202500951,10.1002/solr.202500951,single_junction,22.14,,1,
10.1016/j.solmat.2026.114173,10.1016/j.solmat.2026.114173,single_junction,20.28,,1,
10.1021/acsami.5c22032,10.1021/acsami.5c22032,single_junction,20.8,,1,
10.1002/advs.202517469,10.1002/advs.202517469,single_junction,,,1,
10.1038/s43246-026-01099-9,10.1038/s43246-026-01099-9,single_junction,,,1,
10.1016/j.matdes.2026.115695,10.1016/j.matdes.2026.115695,single_junction,30,,0,lens=theory
10.1021/acs.jctc.5c01980,10.1021/acs.jctc.5c01980,single_junction,,,1,
10.3390/mi17030314,10.3390/mi17030314,single_junction,,,0,lens=theory
10.48550/arxiv.2602.15759,10.48550/arxiv.2602.15759,single_junction,31.76,,0,lens=theory
10.5281/zenodo.18776435,10.5281/zenodo.18776435,single_junction,,,0,lens=theory
10.5281/zenodo.18776434,10.5281/zenodo.18776434,single_junction,,,0,lens=theory
10.48550/arxiv.2602.06893,10.48550/arxiv.2602.06893,single_junction,,,0,lens=theory
10.48550/arxiv.2602.04914,10.48550/arxiv.2602.04914,single_junction,26.0,,1,
10.5281/zenodo.18501726,10.5281/zenodo.18501726,single_junction,,,0,lens=theory
10.5281/zenodo.18501727,10.5281/zenodo.18501727,single_junction,,,0,lens=theory
10.48550/arxiv.2602.22024,10.48550/arxiv.2602.22024,single_junction,,,0,lens=theory
10.26434/chemrxiv.15000472/v1,10.26434/chemrxiv.15000472/v1,single_junction,,,0,lens=theory
10.48550/arxiv.2602.21812,10.48550/arxiv.2602.21812,single_junction,,,1,
10.20944/preprints202602.0706.v1,10.20944/preprints202602.0706.v1,single_junction,,,0,lens=review
10.48550/arxiv.2602.20764,10.48550/arxiv.2602.20764,single_junction,,,0,lens=review
10.26434/chemrxiv.10002054/v1,10.26434/chemrxiv.10002054/v1,single_junction,,,1,
10.1002/anie.4012708,10.1002/anie.4012708,single_junction,26.48,,1,
10.1002/adma.72755,10.1002/adma.72755,all_perovskite_tandem,29.67,,1,
10.1002/adma.72823,10.1002/adma.72823,single_junction,26.95,26.69,1,
10.1002/solr.70318,10.1002/solr.70318,single_junction,22,,1,
