work_key,doi,title,venue,venue_type,publication_date,type,lang,axis_primary,axis_secondary,lens,mechanism_centrality,first_author_institution,cited_by_count,oa_status,in_depth_tier
10.1038/s41586-026-10482-y,10.1038/s41586-026-10482-y,Autonomous closed-loop framework for reproducible perovskite solar cells,Nature,journal,2026-04-14,article,en,,,,,City University Of Hong Kong,18,closed,0
10.1002/anie.9286497,10.1002/anie.9286497,Interfacial Energetics Reconstruction via Bridging Engineering for Efficient Inverted Perovskite Solar Cells and Modules,Angewandte Chemie International Edition,journal,2026-04-14,article,en,,,,,Chongqing University,5,closed,1
10.1007/s40820-026-02190-z,10.1007/s40820-026-02190-z,Diamine-Mediated Synergistic Engineering of Orientation and Interfacial Field of 3D/1D Heterojunctions for Efficient Perovskite Photovoltaics,Nano-Micro Letters,journal,2026-04-14,article,en,,,,,Peking University,2,gold,1
10.1002/aenm.202506810,10.1002/aenm.202506810,Multiscale Perspectives on Perovskite Instability: From Atomistic Deformation to Device Degradation in Perovskite Solar Cells,Advanced Energy Materials,journal,2026-04-14,article,en,,,,,Seoul National University,2,hybrid,1
10.1002/adfm.202525903,10.1002/adfm.202525903,Advanced Sub‐Micron Pyramid Texture Enables Approximately 32% Efficiency in Perovskite/Silicon Tandem Solar Cells,Advanced Functional Materials,journal,2026-04-14,article,en,,,,,,1,closed,0
10.1002/smll.73396,10.1002/smll.73396,Suppression of Formamidinium Deprotonation and Regulation of Thin‐Film Stress Toward High Performance and Stability of Perovskite Solar Cells,Small,journal,2026-04-14,article,en,,,,,Qingdao University Of Science And Technology,1,closed,0
10.1002/bkcs.70166,10.1002/bkcs.70166,Advances in 2D / 3D perovskite heterostructures: Toward commercially viable perovskite solar cells,Bulletin of the Korean Chemical Society,journal,2026-04-14,article,en,,,,,Hebrew University Of Jerusalem,0,closed,0
10.1002/aenm.70901,10.1002/aenm.70901,High‐Sublimation‐Temperature Additives for Efficient Perovskite Solar Cells via Single‐Source Evaporation,Advanced Energy Materials,journal,2026-04-14,article,en,,,,,Leibniz Institute For Solid State And Materials Research,0,hybrid,1
10.1021/acs.jpcc.5c08089,10.1021/acs.jpcc.5c08089,"First-Principles Study on Structural, Electronic, and Optical Properties of the BaTi x Zr 1– x S 3 Chalcogenide Perovskite for Solar Cells Applications",The Journal of Physical Chemistry C,journal,2026-04-14,article,en,,,,,Prince Of Songkla University,0,hybrid,0
10.1002/ange.9286497,10.1002/ange.9286497,Interfacial Energetics Reconstruction via Bridging Engineering for Efficient Inverted Perovskite Solar Cells and Modules,Angewandte Chemie,journal,2026-04-14,article,en,,,,,Chongqing University,0,closed,0
10.1038/s43246-026-01158-1,10.1038/s43246-026-01158-1,"Stable and eco-friendly inorganic lead-free perovskite solar cells: structural, electronic, and defect engineering",Communications Materials,journal,2026-04-15,article,en,,,,,Korea University,6,gold,0
10.3390/mi17040474,10.3390/mi17040474,"Quantum Dot Solar Cells: Background, Progress, and Perspective",Micromachines,journal,2026-04-15,article,en,,,,,Michigan Technological University,3,gold,0
10.1016/j.nanoen.2026.111956,10.1016/j.nanoen.2026.111956,Unlocking charge transport in Dion-Jacobson perovskite solar cells through rational spacer design,Nano Energy,journal,2026-04-15,article,en,,,,,Amirkabir University Of Technology,2,hybrid,1
